id,x1,y1,z1,x2,y2,z2,radio_um,longitud_mm,reynolds
120,35.657556882850066,-49.4802954602447,-49.910625401597684,-33.15168207305138,-50.0,-50.0,61.67,68.811,0.98
121,48.59197999687671,-46.26646340172312,22.76121965309637,50.0,-50.0,-50.0,95.04,72.871,3.39
122,48.59197999687671,-46.26646340172312,22.76121965309637,0.06231430030062546,-50.0,-50.0,81.2,87.54,1.76
123,8.899729017978725,-49.97670331183566,-49.97670331183566,-50.0,-50.0,-50.0,75.37,58.9,2.09
124,8.899729017978725,-49.97670331183566,-49.97670331183566,-50.0,-47.61004832878435,-16.876382200486816,81.64,67.605,2.32
125,47.53364356340305,47.13693925403975,47.13693925403975,50.0,50.0,40.068381182636294,150.09,8.015,121.36
126,47.53364356340305,47.13693925403975,47.13693925403975,47.86084688035316,50.0,50.0,134.71,4.062,173.13
127,47.71303502615181,48.70663194525011,48.70663194525011,-35.610158244491245,50.0,50.0,103.21,83.343,3.79
128,47.71303502615181,48.70663194525011,48.70663194525011,50.0,50.0,50.0,110.39,2.928,132.16
129,49.96524745722052,49.959657639269885,49.959657639269885,50.0,50.0,50.0,72.01,0.067,1608.11
130,49.96524745722052,49.959657639269885,49.959657639269885,50.0,50.0,50.0,90.72,0.067,3215.24
131,49.92448917833663,-49.490286278469995,-49.91234354199918,50.0,-50.0,-43.75805722178964,48.36,6.176,5.27
132,49.92448917833663,-49.490286278469995,-49.91234354199918,34.15592194576385,-50.0,-50.0,63.68,15.777,4.71
133,49.90892343784244,49.894274109726766,49.894274109726766,50.0,50.0,50.0,95.9,0.175,1449.25
134,49.90892343784244,49.894274109726766,49.894274109726766,50.0,50.0,50.0,91.72,0.175,1268.02
135,49.98398804584942,-49.89191598555972,-45.06306421572828,50.0,-50.0,-11.808636466025701,32.55,33.255,0.3
136,49.98398804584942,-49.89191598555972,-45.06306421572828,26.689087894587683,-40.41924018381333,13.842629493437578,42.84,64.049,0.35
137,49.886604611509824,-49.86836538273961,-49.86836538273961,44.60398310539207,-50.0,-50.0,92.27,5.286,42.75
138,49.886604611509824,-49.86836538273961,-49.86836538273961,50.0,-50.0,-50.0,89.65,0.218,951.12
139,-48.32645411575276,-33.39967089660486,-36.59753593959106,-50.0,-50.0,-50.0,73.59,21.401,5.36
140,-48.32645411575276,-33.39967089660486,-36.59753593959106,-42.002640879370844,-44.266587383322026,-50.0,70.35,18.377,5.45
141,49.46213113423524,-38.96172691506688,49.37561691684351,-3.6477357337146508,-50.0,50.0,119.07,54.248,8.95
142,49.46213113423524,-38.96172691506688,49.37561691684351,50.0,-50.0,41.38919847461442,111.66,13.635,29.38
143,49.96194513443799,-49.95582415008363,-49.95582415008363,40.281907878620665,-50.0,-50.0,82.47,9.68,16.67
144,49.96194513443799,-49.95582415008363,-49.95582415008363,50.0,-50.0,-50.0,63.18,0.073,992.11
145,-19.434659687072962,-12.924992490213407,-4.153098635966329,-50.0,-26.218254765227105,13.63995291650577,60.95,37.783,1.72
146,-19.434659687072962,-12.924992490213407,-4.153098635966329,-31.72268008110419,50.0,47.33973401214438,73.3,82.232,1.38
147,19.805237590057928,-44.276580886300195,35.342489520648684,-46.13872969909898,-50.0,2.309291328357124,116.9,73.977,6.21
148,19.805237590057928,-44.276580886300195,35.342489520648684,-50.0,-48.36923613895802,-14.86405310950547,91.89,86.083,2.59
149,-22.244083909070678,-47.92613216869314,14.27879517479004,-50.0,-50.0,-39.663043134723715,83.18,60.699,2.73
150,-22.244083909070678,-47.92613216869314,14.27879517479004,-50.0,16.11007930155639,-25.603760976337668,100.74,80.384,3.66
151,49.959006978735744,-3.962400696200942,17.281243892931883,50.0,-50.0,-50.0,83.24,81.524,2.04
152,49.959006978735744,-3.962400696200942,17.281243892931883,12.094580928257763,-50.0,-13.144926928411728,87.11,66.925,2.84
153,23.166329712204288,-36.53837421361837,-4.248161417103842,27.831528803725767,-50.0,-50.0,70.15,47.919,2.07
154,23.166329712204288,-36.53837421361837,-4.248161417103842,-43.9629128305665,-50.0,8.877446658953845,68.1,69.712,1.3
155,49.734148879270954,49.69138770992927,49.69138770992927,50.0,50.0,50.0,178.57,0.511,3205.7
156,49.734148879270954,49.69138770992927,49.69138770992927,50.0,50.0,50.0,138.55,0.511,1497.36
157,49.091138556956444,49.18166740790963,49.401965480405295,50.0,49.69108006915288,50.0,110.5,1.201,323.11
158,49.091138556956444,49.18166740790963,49.401965480405295,50.0,50.0,50.0,100.78,1.361,216.3
159,49.997429720244206,-49.997016300253385,-49.4857304815393,50.0,-30.745757545930818,-1.4042768642135508,40.83,51.792,0.38
160,49.997429720244206,-49.997016300253385,-49.4857304815393,38.28567255126968,-50.0,-13.250933340144481,33.19,38.081,0.28
